Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,month,day_of_week,is_weekend,predicted_units_sold,sales_status
2022-01-01,S001,P0015,Clothing,North,379,369,154,363.46,92.99,15,Snowy,0,95.8,Winter,1,5,1,210.0176654489394,🟢 Healthy
2022-01-01,S001,P0016,Electronics,North,363,255,69,255.74,21.9,5,Cloudy,1,20.27,Autumn,1,5,1,193.14805793108943,🟢 Healthy
2022-01-01,S001,P0017,Toys,West,318,246,177,255.37,21.07,20,Sunny,0,16.49,Winter,1,5,1,156.27579549474453,🟢 Healthy
2022-01-01,S001,P0018,Clothing,South,241,151,47,147.27,19.57,5,Cloudy,0,23.13,Autumn,1,5,1,123.34291218741409,🟢 Healthy
2022-01-01,S001,P0019,Clothing,East,352,257,186,267.38,73.28,10,Cloudy,0,77.26,Winter,1,5,1,186.5352929656457,🟢 Healthy
2022-01-01,S001,P0020,Toys,East,274,99,166,115.23,30.24,5,Cloudy,0,27.1,Spring,1,5,1,139.94964748345336,🟢 Healthy
2022-01-01,S002,P0001,Groceries,South,343,104,144,112.55,32.8,20,Sunny,1,30.78,Spring,1,5,1,171.8875800070889,🟢 Healthy
2022-01-01,S002,P0002,Clothing,West,373,141,151,135.62,46.16,10,Rainy,1,45.21,Winter,1,5,1,177.52460117571505,🟢 Healthy
2022-01-01,S002,P0003,Furniture,East,445,182,119,176.31,20.46,20,Snowy,1,22.0,Spring,1,5,1,214.26886648421078,🟢 Healthy
2022-01-01,S002,P0004,Toys,West,191,63,115,54.57,26.19,0,Cloudy,0,28.06,Autumn,1,5,1,98.23551703200125,🟢 Healthy
2022-01-01,S002,P0005,Toys,West,281,156,25,150.9,83.29,20,Rainy,0,80.64,Autumn,1,5,1,146.07149951819963,🟢 Healthy
2022-01-01,S002,P0006,Furniture,North,492,250,168,242.57,85.59,20,Cloudy,0,86.82,Winter,1,5,1,241.37456875118153,🟢 Healthy
2022-01-01,S002,P0007,Groceries,West,460,393,70,401.48,91.13,5,Sunny,0,93.33,Summer,1,5,1,250.9564489526131,🟢 Healthy
2022-01-01,S002,P0008,Electronics,West,304,29,99,35.54,66.96,20,Snowy,0,65.36,Summer,1,5,1,139.09864658396117,🟢 Healthy
2022-01-01,S002,P0009,Clothing,South,113,9,84,14.78,81.29,5,Rainy,1,82.06,Winter,1,5,1,57.1932546232115,🟢 Healthy
2022-01-01,S002,P0010,Electronics,North,157,126,181,132.75,60.84,0,Snowy,1,65.22,Winter,1,5,1,81.90162750482479,🟢 Healthy
2022-01-01,S002,P0011,Groceries,West,67,13,33,7.44,34.62,0,Snowy,1,33.98,Autumn,1,5,1,35.72300157927876,🟢 Healthy
2022-01-01,S002,P0012,Groceries,East,281,25,136,37.27,19.56,5,Rainy,1,19.01,Winter,1,5,1,138.36055118385713,🟢 Healthy
2022-01-01,S002,P0013,Clothing,East,389,283,177,299.7,57.78,20,Cloudy,0,58.5,Spring,1,5,1,192.45850500660464,🟢 Healthy
2022-01-01,S002,P0014,Electronics,East,465,359,77,370.36,91.28,20,Cloudy,0,90.85,Summer,1,5,1,263.27232522008353,🟢 Healthy
2022-01-01,S002,P0015,Toys,South,197,129,94,148.55,59.9,15,Sunny,1,55.23,Winter,1,5,1,97.09481103650833,🟢 Healthy
2022-01-01,S002,P0016,Toys,South,242,63,85,58.07,45.65,20,Rainy,1,42.17,Spring,1,5,1,117.18527975684366,🟢 Healthy
2022-01-01,S002,P0017,Groceries,West,398,373,92,390.89,11.71,20,Cloudy,1,10.0,Winter,1,5,1,214.56681967020154,🟢 Healthy
2022-01-01,S002,P0018,Groceries,North,234,160,140,177.41,58.84,5,Cloudy,0,54.39,Summer,1,5,1,120.69506589034832,🟢 Healthy
2022-01-01,S002,P0019,Toys,East,67,15,186,34.38,84.99,5,Sunny,1,81.02,Winter,1,5,1,34.92141483672449,🟢 Healthy
2022-01-01,S002,P0020,Toys,West,221,101,38,115.0,87.1,0,Rainy,1,91.56,Spring,1,5,1,109.38103502939809,🟢 Healthy
2022-01-01,S003,P0001,Toys,South,241,147,180,161.09,67.21,5,Sunny,1,67.39,Summer,1,5,1,119.95601478010724,🟢 Healthy
2022-01-01,S003,P0002,Electronics,West,115,4,169,11.11,28.2,10,Sunny,1,25.63,Spring,1,5,1,58.23809599829455,🟢 Healthy
2022-01-01,S003,P0003,Groceries,South,375,77,145,75.04,56.16,10,Sunny,1,57.16,Spring,1,5,1,178.59059545880604,🟢 Healthy
2022-01-01,S003,P0004,Toys,South,153,31,145,42.99,89.53,20,Rainy,1,93.6,Winter,1,5,1,79.7658753362979,🟢 Healthy
2022-01-01,S003,P0005,Clothing,West,438,325,20,330.92,97.95,20,Sunny,0,93.54,Winter,1,5,1,214.87673058512138,🟢 Healthy
2022-01-01,S003,P0006,Groceries,North,456,163,22,159.17,76.37,5,Rainy,1,71.38,Summer,1,5,1,231.0478423675793,🟢 Healthy
2022-01-01,S003,P0007,Electronics,North,189,34,107,26.91,86.99,15,Rainy,1,90.5,Summer,1,5,1,91.16954222728474,🟢 Healthy
2022-01-01,S003,P0008,Toys,North,223,47,107,45.48,66.53,15,Cloudy,1,70.46,Spring,1,5,1,113.47766534367874,🟢 Healthy
2022-01-01,S003,P0009,Groceries,South,381,15,184,30.05,74.86,15,Snowy,1,73.93,Winter,1,5,1,188.8165622165981,🟢 Healthy
2022-01-01,S003,P0010,Groceries,South,166,126,124,141.34,97.09,5,Rainy,1,95.8,Summer,1,5,1,83.50737323877586,🟢 Healthy
2022-01-01,S003,P0011,Toys,East,292,232,155,242.02,56.19,0,Snowy,1,57.85,Winter,1,5,1,150.8965771550914,🟢 Healthy
2022-01-01,S003,P0012,Electronics,North,311,175,55,176.75,90.38,20,Cloudy,0,89.52,Summer,1,5,1,154.8040298088693,🟢 Healthy
2022-01-01,S003,P0013,Furniture,North,51,17,172,12.86,73.98,20,Cloudy,1,76.65,Summer,1,5,1,29.99279525673716,🟢 Healthy
2022-01-01,S003,P0014,Electronics,South,398,369,26,387.88,79.03,5,Rainy,0,82.51,Spring,1,5,1,204.75916718884153,🟢 Healthy
2022-01-01,S003,P0015,Clothing,West,445,260,24,266.36,27.72,5,Snowy,0,23.28,Autumn,1,5,1,226.7495733627413,🟢 Healthy
2022-01-01,S003,P0016,Groceries,South,487,347,93,349.36,98.18,15,Rainy,0,99.58,Winter,1,5,1,265.5398062983776,🟢 Healthy
2022-01-01,S003,P0017,Clothing,East,429,150,168,157.82,27.1,5,Cloudy,1,27.4,Spring,1,5,1,207.19602808040784,🟢 Healthy
2022-01-01,S003,P0018,Toys,West,204,70,170,83.01,97.08,15,Snowy,1,94.88,Winter,1,5,1,100.41603781424645,🟢 Healthy
2022-01-01,S003,P0019,Clothing,East,330,249,37,268.25,26.71,15,Cloudy,1,24.81,Summer,1,5,1,167.39131409088745,🟢 Healthy
2022-01-01,S003,P0020,Electronics,North,431,370,99,387.57,95.85,20,Cloudy,1,95.7,Spring,1,5,1,212.57428215354227,🟢 Healthy
2022-01-01,S004,P0001,Toys,South,477,271,66,286.65,15.62,15,Sunny,0,16.09,Winter,1,5,1,240.4855297647701,🟢 Healthy
2022-01-01,S004,P0002,Clothing,North,462,180,183,176.06,41.13,5,Sunny,0,45.05,Autumn,1,5,1,231.4844668565656,🟢 Healthy
2022-01-01,S004,P0003,Clothing,West,446,344,27,352.93,89.32,20,Cloudy,0,93.0,Autumn,1,5,1,219.46049770968443,🟢 Healthy
2022-01-01,S004,P0004,Groceries,West,437,0,160,-2.4,87.23,10,Sunny,0,90.36,Spring,1,5,1,212.429954689254,🟢 Healthy
2022-01-01,S004,P0005,Groceries,North,397,200,172,196.57,81.72,0,Snowy,1,85.22,Spring,1,5,1,213.50407973924166,🟢 Healthy
2022-01-01,S004,P0006,Electronics,East,470,382,195,396.4,41.35,10,Snowy,0,39.86,Summer,1,5,1,242.15927076809731,🟢 Healthy
2022-01-01,S004,P0007,Electronics,West,264,190,139,197.45,67.26,20,Cloudy,0,64.78,Summer,1,5,1,131.08018140196097,🟢 Healthy
2022-01-01,S004,P0008,Furniture,South,250,51,137,54.98,85.88,20,Snowy,1,86.14,Winter,1,5,1,119.57037319622158,🟢 Healthy
2022-01-01,S004,P0009,Furniture,North,63,40,73,51.78,59.23,10,Rainy,1,61.1,Summer,1,5,1,32.05884487516347,🟢 Healthy
2022-01-01,S004,P0010,Groceries,East,447,104,96,115.03,33.48,15,Cloudy,0,37.15,Summer,1,5,1,228.6955863845666,🟢 Healthy
2022-01-01,S004,P0011,Electronics,West,205,46,27,46.65,54.84,0,Sunny,1,57.76,Spring,1,5,1,100.65203699450974,🟢 Healthy
2022-01-01,S004,P0012,Electronics,North,349,9,165,0.95,14.25,5,Rainy,1,18.56,Spring,1,5,1,169.80224555097053,🟢 Healthy
2022-01-01,S004,P0013,Furniture,East,191,56,65,54.47,61.81,0,Sunny,0,63.92,Autumn,1,5,1,98.51628797265144,🟢 Healthy
2022-01-01,S004,P0014,Electronics,West,406,63,139,69.73,66.94,10,Snowy,1,68.47,Winter,1,5,1,193.10892635941082,🟢 Healthy
2022-01-01,S004,P0015,Clothing,South,228,181,127,171.96,60.54,5,Cloudy,0,65.27,Autumn,1,5,1,119.77147250746815,🟢 Healthy
2022-01-01,S004,P0016,Groceries,South,263,94,24,98.05,94.26,15,Rainy,0,96.74,Summer,1,5,1,130.6466971545275,🟢 Healthy
2022-01-01,S004,P0017,Electronics,South,203,46,75,55.12,25.55,0,Rainy,0,28.07,Winter,1,5,1,97.24791260342373,🟢 Healthy
2022-01-01,S004,P0018,Groceries,West,143,8,27,27.3,16.73,5,Cloudy,1,18.79,Spring,1,5,1,73.92684946666992,🟢 Healthy
2022-01-01,S004,P0019,Groceries,West,359,172,125,181.25,71.2,15,Rainy,1,73.85,Spring,1,5,1,181.42187856328894,🟢 Healthy
2022-01-01,S004,P0020,Clothing,West,211,68,37,86.27,11.5,20,Snowy,0,9.26,Winter,1,5,1,102.66627241485678,🟢 Healthy
2022-01-01,S005,P0001,Toys,West,111,77,60,83.47,70.33,10,Cloudy,0,70.29,Winter,1,5,1,56.501665841855086,🟢 Healthy
2022-01-01,S005,P0002,Clothing,West,415,298,107,292.96,57.15,5,Snowy,1,60.71,Autumn,1,5,1,214.26026030070793,🟢 Healthy
2022-01-01,S005,P0003,Electronics,North,384,64,26,76.02,36.17,5,Sunny,0,40.93,Spring,1,5,1,186.4016919886224,🟢 Healthy
2022-01-01,S005,P0004,Furniture,West,436,300,174,292.04,50.77,15,Snowy,1,54.7,Spring,1,5,1,229.64839283975448,🟢 Healthy
2022-01-01,S005,P0005,Clothing,West,180,21,47,38.63,92.86,15,Rainy,1,96.3,Winter,1,5,1,88.70961792251478,🟢 Healthy
2022-01-01,S005,P0006,Groceries,North,185,176,163,174.06,60.76,20,Cloudy,0,61.15,Summer,1,5,1,92.45229336599783,🟢 Healthy
2022-01-01,S005,P0007,Clothing,South,292,131,140,122.6,46.47,15,Snowy,0,50.84,Summer,1,5,1,145.8517533933682,🟢 Healthy
2022-01-01,S005,P0008,Toys,West,478,317,197,328.64,34.08,5,Snowy,1,30.44,Winter,1,5,1,237.6774910970318,🟢 Healthy
2022-01-01,S005,P0009,Groceries,West,182,97,27,92.62,87.81,5,Snowy,0,85.45,Spring,1,5,1,86.4105039230679,🟢 Healthy
2022-01-01,S005,P0010,Clothing,East,87,8,141,14.38,37.04,10,Rainy,1,36.87,Summer,1,5,1,45.40155027075928,🟢 Healthy
2022-01-01,S005,P0011,Groceries,West,427,104,128,94.65,54.12,10,Rainy,1,53.03,Summer,1,5,1,201.44889282619582,🟢 Healthy
2022-01-01,S005,P0012,Electronics,West,245,87,188,90.59,67.64,15,Sunny,0,63.53,Summer,1,5,1,120.4926770870629,🟢 Healthy
2022-01-01,S005,P0013,Furniture,South,317,238,95,256.57,82.18,5,Cloudy,0,87.09,Summer,1,5,1,164.85502597513306,🟢 Healthy
2022-01-01,S005,P0014,Electronics,South,325,171,43,188.55,42.62,20,Cloudy,1,42.01,Autumn,1,5,1,164.0893587999144,🟢 Healthy
2022-01-01,S005,P0015,Furniture,West,411,250,119,260.79,11.54,10,Cloudy,0,11.27,Spring,1,5,1,215.9571099410917,🟢 Healthy
2022-01-01,S005,P0016,Clothing,South,71,11,32,1.85,16.3,5,Sunny,0,17.98,Winter,1,5,1,35.52022311554696,🟢 Healthy
2022-01-01,S005,P0017,Electronics,East,388,371,98,390.04,98.31,15,Sunny,1,102.42,Spring,1,5,1,230.27863004651107,🟢 Healthy
2022-01-01,S005,P0018,Furniture,West,161,107,66,103.97,48.96,10,Snowy,1,50.03,Spring,1,5,1,82.85523844085566,🟢 Healthy
2022-01-01,S005,P0019,Groceries,South,235,106,124,119.33,88.22,5,Rainy,0,91.16,Spring,1,5,1,115.9170745104018,🟢 Healthy
2022-01-01,S005,P0020,Electronics,South,108,101,52,105.92,11.04,10,Snowy,1,9.14,Autumn,1,5,1,51.633409205772985,🟢 Healthy
2022-01-02,S001,P0001,Groceries,West,116,81,104,92.94,27.95,10,Cloudy,0,30.89,Spring,1,6,1,59.02555465707113,🟢 Healthy
2022-01-02,S001,P0002,Clothing,West,416,163,79,171.6,19.78,15,Cloudy,0,18.76,Spring,1,6,1,200.97413435852684,🟢 Healthy
2022-01-02,S001,P0003,Clothing,South,488,464,163,463.12,70.99,10,Snowy,0,72.93,Summer,1,6,1,228.3832505541736,🟢 Healthy
2022-01-02,S001,P0004,Groceries,East,248,116,107,133.92,49.56,5,Snowy,0,50.46,Summer,1,6,1,121.83052432561459,🟢 Healthy
2022-01-02,S001,P0005,Electronics,East,238,200,40,204.3,23.76,15,Sunny,1,19.19,Summer,1,6,1,117.63329399925847,🟢 Healthy
2022-01-02,S001,P0006,Furniture,East,471,58,32,51.57,47.56,0,Snowy,1,46.82,Summer,1,6,1,222.8637323477427,🟢 Healthy
2022-01-02,S001,P0007,Electronics,North,178,56,149,60.3,17.1,5,Snowy,1,17.0,Autumn,1,6,1,86.01482006042507,🟢 Healthy
2022-01-02,S001,P0008,Clothing,East,92,74,121,67.04,58.89,5,Cloudy,0,61.56,Autumn,1,6,1,45.77613167668674,🟢 Healthy
2022-01-02,S001,P0009,Toys,South,99,54,182,70.6,99.76,20,Cloudy,0,95.61,Spring,1,6,1,46.67248297673791,🟢 Healthy
2022-01-02,S001,P0010,Clothing,North,171,39,163,47.8,11.44,5,Sunny,0,12.71,Summer,1,6,1,84.20001370548938,🟢 Healthy
2022-01-02,S001,P0011,Furniture,East,215,12,173,16.92,53.84,0,Cloudy,1,53.79,Spring,1,6,1,103.34935808040197,🟢 Healthy
2022-01-02,S001,P0012,Furniture,East,281,56,187,70.71,57.84,5,Snowy,1,60.99,Summer,1,6,1,128.59801737340132,🟢 Healthy
2022-01-02,S001,P0013,Toys,North,455,31,124,44.46,35.51,15,Cloudy,1,31.06,Autumn,1,6,1,201.55480274547205,🟢 Healthy
2022-01-02,S001,P0014,Electronics,West,84,25,20,23.36,31.41,0,Cloudy,1,28.6,Spring,1,6,1,44.5248699412299,🟢 Healthy
2022-01-02,S001,P0015,Electronics,East,246,198,67,203.23,28.06,20,Cloudy,1,30.29,Winter,1,6,1,126.23581483933873,🟢 Healthy
2022-01-02,S001,P0016,Electronics,West,399,77,147,67.55,35.67,15,Snowy,0,38.02,Summer,1,6,1,193.81687471890328,🟢 Healthy
2022-01-02,S001,P0017,Furniture,West,242,165,105,181.86,28.18,5,Cloudy,0,27.5,Autumn,1,6,1,117.70236354818196,🟢 Healthy
2022-01-02,S001,P0018,Toys,North,478,42,168,55.16,74.42,5,Snowy,0,69.67,Summer,1,6,1,233.8844214870563,🟢 Healthy
2022-01-02,S001,P0019,Furniture,South,156,8,67,24.41,91.95,5,Cloudy,1,87.43,Spring,1,6,1,76.59864186556405,🟢 Healthy
2022-01-02,S001,P0020,Electronics,North,221,174,168,187.49,97.88,0,Snowy,0,99.5,Autumn,1,6,1,107.39477714509292,🟢 Healthy
2022-01-02,S002,P0001,Electronics,West,402,343,141,339.04,66.57,20,Rainy,1,63.92,Summer,1,6,1,208.4299046307732,🟢 Healthy
2022-01-02,S002,P0002,Furniture,West,132,71,60,82.44,90.36,5,Rainy,0,86.73,Winter,1,6,1,62.45158340367034,🟢 Healthy
2022-01-02,S002,P0003,Groceries,West,218,157,31,153.42,92.24,5,Snowy,1,89.57,Autumn,1,6,1,102.9409551387809,🟢 Healthy
2022-01-02,S002,P0004,Groceries,South,131,88,109,100.61,68.71,0,Snowy,0,69.34,Spring,1,6,1,66.8939979726617,🟢 Healthy
2022-01-02,S002,P0005,Groceries,North,93,64,128,57.53,87.22,5,Cloudy,1,90.59,Spring,1,6,1,50.13612085500688,🟢 Healthy
2022-01-02,S002,P0006,Groceries,East,344,273,154,273.1,79.38,0,Rainy,0,77.28,Autumn,1,6,1,177.81149849424395,🟢 Healthy
2022-01-02,S002,P0007,Groceries,North,340,247,148,264.18,17.41,15,Snowy,0,13.57,Summer,1,6,1,165.29732013003562,🟢 Healthy
2022-01-02,S002,P0008,Electronics,North,241,42,187,46.32,14.8,15,Sunny,1,13.94,Spring,1,6,1,118.41466107487548,🟢 Healthy
2022-01-02,S002,P0009,Electronics,North,296,197,157,195.61,30.5,0,Sunny,0,28.86,Spring,1,6,1,146.20559419242727,🟢 Healthy
2022-01-02,S002,P0010,Groceries,West,472,374,65,387.41,27.84,15,Cloudy,1,32.0,Spring,1,6,1,230.51446187621548,🟢 Healthy
2022-01-02,S002,P0011,Furniture,East,308,154,22,169.13,88.62,0,Cloudy,0,86.3,Winter,1,6,1,153.38714132298813,🟢 Healthy
2022-01-02,S002,P0012,Toys,North,434,236,30,239.09,82.35,20,Rainy,0,83.13,Autumn,1,6,1,226.22698989777717,🟢 Healthy
2022-01-02,S002,P0013,Toys,North,287,278,92,279.91,92.57,10,Sunny,1,97.09,Summer,1,6,1,148.49004649384173,🟢 Healthy
2022-01-02,S002,P0014,Furniture,West,190,27,134,31.53,94.38,5,Rainy,0,89.47,Autumn,1,6,1,88.11502170937715,🟢 Healthy
2022-01-02,S002,P0015,Toys,North,353,106,191,110.49,70.59,0,Cloudy,1,75.27,Winter,1,6,1,175.37868365954054,🟢 Healthy
2022-01-02,S002,P0016,Toys,West,210,154,70,166.83,63.13,10,Sunny,0,67.23,Autumn,1,6,1,103.63681846960166,🟢 Healthy
2022-01-02,S002,P0017,Clothing,West,193,176,38,174.49,46.04,5,Rainy,1,41.4,Autumn,1,6,1,94.17672701207152,🟢 Healthy
2022-01-02,S002,P0018,Groceries,East,124,124,46,116.05,21.07,10,Sunny,0,21.71,Autumn,1,6,1,64.84647939934138,🟢 Healthy
2022-01-02,S002,P0019,Toys,East,492,479,132,469.74,79.11,0,Cloudy,0,80.06,Winter,1,6,1,262.4484594106629,🟢 Healthy
2022-01-02,S002,P0020,Clothing,South,222,78,42,76.55,64.99,0,Sunny,1,65.4,Summer,1,6,1,109.59349637450266,🟢 Healthy
2022-01-02,S003,P0001,Toys,West,277,114,40,132.41,73.48,10,Cloudy,0,72.55,Autumn,1,6,1,144.46609759388878,🟢 Healthy
2022-01-02,S003,P0002,Groceries,East,175,2,140,-3.4,87.5,0,Rainy,0,91.2,Autumn,1,6,1,84.600393399936,🟢 Healthy
2022-01-02,S003,P0003,Toys,East,157,7,187,22.8,88.68,20,Cloudy,1,87.38,Autumn,1,6,1,83.20986369389595,🟢 Healthy
2022-01-02,S003,P0004,Furniture,West,120,54,154,49.64,82.36,20,Snowy,0,85.85,Autumn,1,6,1,61.79899444967164,🟢 Healthy
2022-01-02,S003,P0005,Furniture,East,375,282,61,297.42,38.56,5,Cloudy,0,36.57,Winter,1,6,1,184.57493835903415,🟢 Healthy
2022-01-02,S003,P0006,Groceries,East,302,93,33,106.58,97.74,0,Cloudy,0,97.69,Winter,1,6,1,151.60599289305767,🟢 Healthy
2022-01-02,S003,P0007,Electronics,West,375,85,40,85.31,37.68,15,Cloudy,0,36.72,Autumn,1,6,1,197.68932467628687,🟢 Healthy
2022-01-02,S003,P0008,Clothing,South,248,136,50,130.52,36.03,5,Rainy,0,37.49,Spring,1,6,1,118.03836344877557,🟢 Healthy
2022-01-02,S003,P0009,Electronics,West,219,140,196,139.46,88.97,0,Snowy,1,91.53,Spring,1,6,1,101.61991659770817,🟢 Healthy
2022-01-02,S003,P0010,Furniture,West,146,79,155,94.23,16.48,10,Cloudy,1,21.42,Spring,1,6,1,75.13108019030373,🟢 Healthy
2022-01-02,S003,P0011,Furniture,South,218,106,111,117.65,58.37,10,Cloudy,1,58.1,Autumn,1,6,1,109.45084105678814,🟢 Healthy
2022-01-02,S003,P0012,Groceries,West,260,1,142,1.99,27.86,5,Snowy,1,31.78,Winter,1,6,1,124.52677103821652,🟢 Healthy
2022-01-02,S003,P0013,Electronics,West,414,203,53,206.35,39.14,5,Rainy,1,35.3,Autumn,1,6,1,216.24348678144037,🟢 Healthy
2022-01-02,S003,P0014,Toys,North,420,368,71,384.47,66.51,0,Cloudy,0,70.84,Spring,1,6,1,208.82483817760436,🟢 Healthy
2022-01-02,S003,P0015,Electronics,East,435,286,159,283.25,89.65,20,Snowy,0,84.99,Winter,1,6,1,210.88023659091994,🟢 Healthy
2022-01-02,S003,P0016,Clothing,South,230,69,173,70.77,86.7,20,Rainy,0,91.05,Spring,1,6,1,111.89457785273908,🟢 Healthy
2022-01-02,S003,P0017,Toys,South,456,52,78,65.67,29.69,20,Snowy,0,25.27,Summer,1,6,1,212.5709082770797,🟢 Healthy
2022-01-02,S003,P0018,Toys,East,319,109,83,126.67,86.93,10,Rainy,1,82.59,Winter,1,6,1,153.09193803387882,🟢 Healthy
2022-01-02,S003,P0019,Furniture,North,59,50,135,44.37,59.33,10,Cloudy,0,54.98,Spring,1,6,1,32.782109507350874,🟢 Healthy
2022-01-02,S003,P0020,Electronics,East,155,0,92,9.42,57.07,10,Rainy,1,53.34,Summer,1,6,1,77.7801996463814,🟢 Healthy
2022-01-02,S004,P0001,Electronics,North,144,22,45,39.12,74.16,15,Rainy,0,69.74,Autumn,1,6,1,72.89474643153176,🟢 Healthy
2022-01-02,S004,P0002,Electronics,East,283,45,156,46.65,59.38,0,Sunny,1,62.4,Spring,1,6,1,140.0330303096797,🟢 Healthy
2022-01-02,S004,P0003,Clothing,East,347,89,122,87.77,48.18,0,Sunny,1,49.64,Spring,1,6,1,178.06933697296094,🟢 Healthy
2022-01-02,S004,P0004,Groceries,East,410,209,128,224.66,94.75,20,Snowy,0,90.1,Autumn,1,6,1,221.33442671541002,🟢 Healthy
2022-01-02,S004,P0005,Toys,West,99,4,76,14.91,60.89,5,Sunny,0,59.42,Autumn,1,6,1,51.87014617520172,🟢 Healthy
2022-01-02,S004,P0006,Toys,East,97,47,138,52.02,14.71,5,Cloudy,0,16.85,Autumn,1,6,1,53.5834486623422,🟢 Healthy
2022-01-02,S004,P0007,Furniture,West,339,115,95,124.22,33.09,10,Rainy,0,28.55,Spring,1,6,1,174.77915022188972,🟢 Healthy
2022-01-02,S004,P0008,Toys,South,144,27,119,21.73,98.75,15,Snowy,0,102.7,Summer,1,6,1,63.694069437296676,🟢 Healthy
2022-01-02,S004,P0009,Furniture,South,110,90,28,103.6,12.4,20,Snowy,0,8.56,Autumn,1,6,1,54.2315461765755,🟢 Healthy
2022-01-02,S004,P0010,Groceries,South,348,206,67,214.99,92.01,15,Snowy,1,87.81,Autumn,1,6,1,188.01002132986108,🟢 Healthy
2022-01-02,S004,P0011,Toys,East,458,328,144,339.54,92.12,20,Sunny,1,87.37,Spring,1,6,1,254.83594061530678,🟢 Healthy
2022-01-02,S004,P0012,Groceries,South,403,155,24,145.99,37.39,20,Sunny,0,38.71,Spring,1,6,1,195.9205059496375,🟢 Healthy
2022-01-02,S004,P0013,Clothing,West,198,184,161,191.55,85.35,10,Rainy,1,80.79,Spring,1,6,1,97.3856457926234,🟢 Healthy
2022-01-02,S004,P0014,Electronics,East,472,16,166,28.75,82.64,0,Cloudy,0,78.35,Autumn,1,6,1,228.88340427458434,🟢 Healthy
2022-01-02,S004,P0015,Toys,North,178,90,79,98.56,92.19,10,Snowy,1,97.07,Summer,1,6,1,86.83666897715428,🟢 Healthy
2022-01-02,S004,P0016,Clothing,West,215,178,111,180.76,61.41,0,Sunny,0,61.32,Spring,1,6,1,106.26565179242748,🟢 Healthy
2022-01-02,S004,P0017,Electronics,South,477,256,150,254.89,96.47,20,Cloudy,0,93.35,Spring,1,6,1,220.0659200334905,🟢 Healthy
2022-01-02,S004,P0018,Furniture,South,198,27,62,25.51,89.33,0,Sunny,0,89.63,Spring,1,6,1,95.64330803359336,🟢 Healthy
2022-01-02,S004,P0019,Groceries,North,110,67,83,79.41,59.49,20,Rainy,1,57.55,Spring,1,6,1,52.47318819622907,🟢 Healthy
2022-01-02,S004,P0020,Electronics,North,254,84,112,77.15,73.05,15,Sunny,1,74.55,Autumn,1,6,1,128.77928107504746,🟢 Healthy
2022-01-02,S005,P0001,Groceries,East,223,67,53,74.8,67.49,5,Sunny,0,65.24,Winter,1,6,1,113.58075681977876,🟢 Healthy
2022-01-02,S005,P0002,Furniture,West,100,15,114,28.97,66.05,10,Sunny,1,65.16,Autumn,1,6,1,50.5287767320906,🟢 Healthy
