date,product_id,warehouse_id,historical_demand,demand_variability,current_inventory,reorder_point,lead_time_days,holding_cost,ordering_cost,shortage_cost,target_operational_cost,month,day_of_week,is_weekend,predicted_operational_cost,inventory_status
2022-01-23,1059,5,136,0.273992079155218,58,130,14,4.559602408011522,72.09005959618595,10.738498838756316,1174.149908683847,1,6,1,1079.7120297349143,🔴 Reorder Required
2022-01-24,1020,4,131,0.3909169908958274,499,117,1,2.0253687673620195,78.62094891053462,17.957603470246053,1089.2799638241825,1,0,0,1075.2340171555475,🟡 High Cost Overstock
2022-01-25,1032,1,122,0.2078246773009838,234,90,5,2.0966063867661804,30.005699156045527,12.17044357605692,520.6115936593318,1,1,0,512.5304714096612,🟢 Healthy
2022-01-26,1075,5,112,0.1400677304949319,344,131,8,3.1083283741241483,42.15842079799473,16.147431154360444,1111.4233814967015,1,2,0,1125.065227795471,🟡 High Cost Overstock
2022-01-27,1057,4,111,0.2409724102210962,184,172,7,3.8004867221479617,37.70214042977866,13.248075134731844,736.9916973050036,1,3,0,706.0446881876508,🟢 Healthy
2022-01-28,1021,3,122,0.2611891200493577,159,99,9,0.7841714085808855,50.38837030099617,8.379385110396392,175.07162426535697,1,4,0,177.557197995464,🟢 Healthy
2022-01-29,1088,4,118,0.1066148498242683,118,89,2,3.170046457348122,81.07559164608516,6.480399805117882,455.14107361316366,1,5,1,454.8021746507194,🟢 Healthy
2022-01-30,1048,2,101,0.4259168006543584,185,105,12,4.787690278026117,77.09664818194594,9.724629906197755,962.8193496167776,1,6,1,920.0803725618025,🟢 Healthy
2022-01-31,1090,2,108,0.2436773609556726,145,127,8,1.6794225373097915,73.00191283069631,6.154009389820887,316.5181807406161,1,0,0,310.7711780344407,🟢 Healthy
2022-02-01,1058,3,110,0.3321672663120588,168,170,8,4.589722463436202,20.502843669487294,17.372239197796137,791.5762175267694,2,1,0,782.7569462248794,🔴 Reorder Required
2022-02-02,1041,1,117,0.1295852749083824,423,193,14,4.7757575334339215,31.37146507043116,20.914352029322007,2051.51690171298,2,2,0,2061.997665190009,🟡 High Cost Overstock
2022-02-03,1091,5,125,0.1699987315002336,323,93,6,1.7111913843699038,37.86380392816534,11.794815364748017,590.5786210796442,2,3,0,579.3047453983048,🟡 High Cost Overstock
2022-02-04,1059,4,141,0.4558774901310239,407,179,3,3.893908396484077,41.75646768310797,12.742221107047165,1626.577185052127,2,4,0,1616.01870342097,🟡 High Cost Overstock
2022-02-05,1079,2,107,0.3434750111531203,415,138,2,1.57448753743802,31.714123331912,21.32382125518613,685.1264513686904,2,5,1,691.2989896748031,🟡 High Cost Overstock
2022-02-06,1014,1,119,0.4801136200681942,387,91,14,3.819250227794597,52.82524411791117,9.452258247471208,1530.8750822744205,2,6,1,1559.3161411704468,🟡 High Cost Overstock
2022-02-07,1061,3,125,0.4995000137565267,226,195,8,4.088389870799716,26.014446801122077,7.383205303897484,949.990557601858,2,0,0,964.2123920136886,🟢 Healthy
2022-02-08,1061,2,127,0.2487440461332377,410,102,6,1.6124256666979224,80.00177523102246,15.02236234662173,741.0962985771707,2,1,0,739.3655581045047,🟡 High Cost Overstock
2022-02-09,1046,3,135,0.2195212256333098,286,164,4,3.721412946124557,83.0176629836884,17.923803390664744,1147.3417655753117,2,2,0,1158.1090946748493,🟡 High Cost Overstock
2022-02-10,1061,4,111,0.4433424220636387,321,151,5,4.154470424888404,65.94133516807184,16.993088500929584,1399.5263415572497,2,3,0,1391.933812495898,🟡 High Cost Overstock
2022-02-11,1050,5,112,0.4994445708149817,326,118,5,2.113604924481103,27.176390163357425,19.27746090548361,716.2115955441969,2,4,0,701.3020250000095,🟡 High Cost Overstock
2022-02-12,1054,2,106,0.351856493692983,187,88,13,1.2546624919537712,91.20665356374064,6.135023643460478,325.8285395590959,2,5,1,326.8652417781034,🟢 Healthy
2022-02-13,1063,2,120,0.418056289004609,411,167,9,0.9138405529288112,97.25086629664916,13.564032255167458,472.8393335503905,2,6,1,476.8506529918005,🟢 Healthy
2022-02-14,1002,4,111,0.4126983435261098,181,174,13,3.0892176662447386,36.18908482574315,9.771410478913864,595.3374824160409,2,0,0,577.315916799497,🟢 Healthy
2022-02-15,1050,1,129,0.2421358832878188,93,104,13,4.90144153692071,76.37118555525758,20.182425190920483,1258.772555362021,2,1,0,1111.3185005937587,🔴 Reorder Required
2022-02-16,1006,5,117,0.3297081521028349,172,96,9,4.203276440099973,87.35509045139887,22.454609681206996,810.3186381485942,2,2,0,799.0696394785309,🟢 Healthy
2022-02-17,1020,2,141,0.4332227765056854,185,121,8,2.461278375205488,63.18748180341618,10.626714816128295,518.5239812164314,2,3,0,505.8792736473461,🟢 Healthy
2022-02-18,1072,5,130,0.3752455505044222,416,108,8,2.9147940628473137,45.86584796213991,6.904361581388166,1258.4201781066224,2,4,0,1227.7385595324433,🟡 High Cost Overstock
2022-02-19,1038,2,117,0.1084655255928153,422,139,12,1.7578754843531852,58.28469720642821,10.068559239827938,800.1081516034724,2,5,1,808.2211683888822,🟡 High Cost Overstock
2022-02-20,1017,5,126,0.2346822675590134,175,146,2,1.233796403120286,60.98150006275616,7.080169781178394,276.8958706088062,2,6,1,278.50190445766947,🟢 Healthy
2022-02-21,1003,3,122,0.1577902786378421,488,164,14,2.66936521204523,52.05096353504224,11.448443322269076,1354.7011870131143,2,0,0,1362.0414342473414,🟡 High Cost Overstock
2022-02-22,1088,2,120,0.1931888848312156,324,136,3,2.5857570477523333,94.3873994906965,15.763971566436512,932.1726829624524,2,1,0,897.3473738898392,🟡 High Cost Overstock
2022-02-23,1059,5,118,0.4621957909965303,113,151,14,2.848684787616921,79.51064887540016,24.473619087964128,523.7801253159329,2,2,0,535.9374206986491,🔴 Reorder Required
2022-02-24,1013,1,128,0.1147573155643072,345,93,8,4.787620635037733,39.30413138039712,12.98740508702717,1691.033250468415,2,3,0,1710.177145048314,🟡 High Cost Overstock
2022-02-25,1008,3,117,0.1879202847847695,281,118,13,3.217528850651475,66.84457498558947,9.400798477092422,970.970182018654,2,4,0,951.6947037094566,🟡 High Cost Overstock
2022-02-26,1089,3,109,0.2238277408952926,100,95,5,3.225973264800682,75.09513207449339,8.336034807416702,472.7167718213119,2,5,1,469.4071465947921,🟢 Healthy
2022-02-27,1052,1,138,0.3467536287865579,186,97,7,1.0761114328748456,31.212513736170425,8.46079532277352,231.3692402508917,2,6,1,244.1886942629257,🟢 Healthy
2022-02-28,1001,5,128,0.3136406760343462,207,174,14,4.984199897795692,48.67405939041191,8.851953665229184,1080.40343823412,2,0,0,1068.5915483207853,🟢 Healthy
2022-03-01,1083,4,133,0.1873077931413544,105,154,8,3.977802249056008,92.44386252831328,20.24534045074894,1076.9826313001645,3,1,0,1069.2079474027314,🔴 Reorder Required
2022-03-02,1091,1,147,0.1656964268892617,130,181,6,4.4474150484230215,65.37384801481612,6.220554228648398,749.2872261968316,3,2,0,789.7396317890476,🔴 Reorder Required
2022-03-03,1059,5,115,0.1947192138384475,281,99,5,2.3643518532394734,37.35981968482535,24.948054138860684,701.7426904451173,3,3,0,702.9169051260633,🟡 High Cost Overstock
2022-03-04,1070,1,119,0.3010118506806623,477,196,8,2.759576431035312,29.822783849532065,15.453727823325224,1346.1407414533758,3,4,0,1341.664590951569,🟡 High Cost Overstock
2022-03-05,1043,1,111,0.2084711142844814,492,125,1,2.849377141230244,61.45815147799021,15.885437886016511,1463.3517049632703,3,5,1,1481.2640394495377,🟡 High Cost Overstock
2022-03-06,1007,2,113,0.4790410006430888,448,196,1,1.373425426803223,63.81485784233153,12.151277573992097,679.1094490501756,3,6,1,700.2135291940314,🟡 High Cost Overstock
2022-03-07,1046,5,133,0.285546088571539,375,124,1,3.602701203471307,46.75315610836898,18.80510718824241,1397.7661074101093,3,0,0,1400.281560576396,🟡 High Cost Overstock
2022-03-08,1034,4,107,0.1235184066178548,177,83,3,4.563395256278555,70.43328227352947,14.429126817615954,878.1542426348336,3,1,0,874.8125436903716,🟢 Healthy
2022-03-09,1077,2,143,0.3917065623346534,175,163,10,1.2366761816228855,25.494774897551096,11.581225699290997,241.9131066815561,3,2,0,273.56655990444665,🟢 Healthy
2022-03-10,1080,1,114,0.2315381152835958,366,174,13,0.8884322306877402,31.61117546129125,10.302768074160856,356.77737189300416,3,3,0,354.66819276547477,🟢 Healthy
2022-03-11,1035,1,125,0.361395572823299,129,99,12,3.82198507493154,63.70190568090074,23.51302413866519,556.7379803470694,3,4,0,546.3531302057022,🟢 Healthy
2022-03-12,1049,1,105,0.2118377482092928,426,90,6,1.7294082425284194,24.94525550755632,10.819790301048403,761.673166824663,3,5,1,761.6932607088246,🟡 High Cost Overstock
2022-03-13,1003,5,114,0.328297496693328,406,193,6,3.307381437277982,90.47270119928804,13.72786518859684,1433.2695647341488,3,6,1,1425.0996598629795,🟡 High Cost Overstock
2022-03-14,1001,5,128,0.4088610019229859,456,144,5,3.630912520964813,31.371709636521345,12.006828042329364,1687.067819196476,3,0,0,1684.9439904384217,🟡 High Cost Overstock
2022-03-15,1005,2,143,0.4712034967098216,382,187,13,1.948598436118198,73.91358992676291,6.723576548560719,818.2781925239146,3,1,0,825.8461807309925,🟡 High Cost Overstock
2022-03-16,1053,4,134,0.2044508577732308,224,97,13,4.16815068841603,51.296275337154015,8.718687889645341,984.9620295423448,3,2,0,978.5826432105146,🟢 Healthy
2022-03-17,1003,2,127,0.2339427803995925,194,118,14,2.974950419513976,51.98301980337988,8.790039506527641,629.1234011890912,3,3,0,638.2734853931833,🟢 Healthy
2022-03-18,1053,3,126,0.2857065681143759,490,123,7,4.410497335783113,81.1911622888915,18.872990287793098,2242.334856822617,3,4,0,2261.7905182531813,🟡 High Cost Overstock
2022-03-19,1092,1,134,0.4708699350943955,175,176,5,3.934820986515264,59.95697073383312,13.131708199316185,748.5506433740043,3,5,1,772.133249168315,🔴 Reorder Required
2022-03-20,1062,1,119,0.4605547427242629,231,197,14,4.408590344168542,78.0524370915093,20.63935126141317,1096.4368065944425,3,6,1,1102.3742506963538,🟢 Healthy
2022-03-21,1017,1,116,0.1359513120402552,268,179,2,0.5907262195305234,60.41529830022154,19.17901848668314,218.7299251344018,3,0,0,207.2461408100517,🟢 Healthy
2022-03-22,1089,2,132,0.1527719303015243,485,97,4,1.5957781733236762,67.43242731242107,8.840995327920753,841.384841374404,3,1,0,826.5700747284299,🟡 High Cost Overstock
2022-03-23,1043,2,109,0.2982036709322553,327,126,1,0.9050357320067238,80.85717022957313,16.25833840240201,376.8038545957718,3,2,0,393.90724380877566,🟢 Healthy
2022-03-24,1033,1,120,0.1426477091221694,132,110,7,2.4893735773520715,68.58469943370203,19.858176920976057,397.1820116441755,3,3,0,418.55359089370467,🟢 Healthy
2022-03-25,1073,2,119,0.238232349339479,472,178,4,4.504820547268932,69.24920875110308,17.66085846951446,2195.524507062039,3,4,0,2202.2462313626006,🟡 High Cost Overstock
2022-03-26,1061,5,132,0.159354151286991,190,118,13,2.6039311802009117,83.13756731420756,17.000330161759617,577.8844915523807,3,5,1,571.9081466960359,🟢 Healthy
2022-03-27,1099,5,104,0.3544161420527544,383,117,4,4.323708700611773,95.92694526554986,19.79221774801536,1751.9073775998588,3,6,1,1750.4386103789914,🟡 High Cost Overstock
2022-03-28,1013,2,126,0.4797981726956647,144,158,13,1.9723020710869303,50.13729231482694,6.135614785126138,334.1487905513449,3,0,0,336.96205453944305,🔴 Reorder Required
2022-03-29,1094,1,116,0.4986935081177526,414,126,4,2.028065327623636,66.16937257807609,19.62843894722866,905.7884182142614,3,1,0,900.4805115467599,🟡 High Cost Overstock
2022-03-30,1047,2,127,0.2500964529987659,243,149,3,4.530027786470949,26.901852618683648,10.453105263068569,1127.6986047311243,3,2,0,1100.007401613751,🟢 Healthy
2022-03-31,1014,2,117,0.3396050548458449,159,87,8,2.416177159302657,48.70431044550935,16.437445090187083,432.87647877463183,3,3,0,427.6287930984023,🟢 Healthy
2022-04-01,1071,2,126,0.4425070614096326,101,183,4,4.053944695075998,52.96393807115088,9.846099893930148,708.5648496220804,4,4,0,691.7257227887472,🔴 Reorder Required
2022-04-02,1077,3,112,0.1469848291185536,152,165,8,1.564895965468556,86.81898534592408,21.77635144413675,324.6831720971446,4,5,1,332.4287945651904,🔴 Reorder Required
2022-04-03,1086,5,143,0.3758257644207859,150,144,9,4.76960373354936,61.07139217005415,14.61118708601512,776.5119522024581,4,6,1,816.2052582618921,🟢 Healthy
2022-04-04,1061,4,129,0.2635374646900273,191,92,1,3.08560210938757,78.48530986387662,17.858824240499672,667.8353127569025,4,0,0,673.8936873781136,🟢 Healthy
2022-04-05,1039,4,106,0.1824584641120656,250,134,4,3.9169560586028087,21.52059200205371,20.88164086953456,1000.759606652756,4,1,0,993.1100211186815,🟡 High Cost Overstock
2022-04-06,1084,3,121,0.2611014474989768,368,167,6,0.9028206490769848,57.15941357026525,22.90630510142729,389.3974124305957,4,2,0,386.66821876140455,🟢 Healthy
2022-04-07,1079,2,116,0.1303841147859667,248,164,8,2.7169890162373798,92.10541321308672,19.64124194138682,765.9186892399568,4,3,0,772.5730042711389,🟡 High Cost Overstock
2022-04-08,1081,3,115,0.3781628594357223,333,188,14,4.554673239803105,37.9451127444628,7.975371523808114,1554.651301598897,4,4,0,1552.294235783772,🟡 High Cost Overstock
2022-04-09,1052,3,118,0.2010970674993812,266,122,6,4.44667383069487,22.52177482456904,22.09064739171573,1205.3370137894044,4,5,1,1204.77378024574,🟡 High Cost Overstock
2022-04-10,1023,1,120,0.2245622580179512,95,83,12,0.710662807554024,54.67269869707812,17.371558317310125,556.4746233474635,4,6,1,512.7858488840621,🟢 Healthy
2022-04-11,1025,5,111,0.1484325192965851,77,150,6,1.86664311108026,76.35454565180763,17.188995167605473,804.5119009035737,4,0,0,812.3589460421082,🔴 Reorder Required
2022-04-12,1088,4,125,0.4458636455559567,51,139,10,2.494940029155861,56.357080547317565,23.42681119609843,1917.1830505455505,4,1,0,1882.3914528086186,🔴 Reorder Required
2022-04-13,1059,2,117,0.2973777117130954,432,91,4,1.275191664601047,56.79826508090127,9.976631113317662,607.6810641885536,4,2,0,602.1733886134622,🟡 High Cost Overstock
2022-04-14,1040,4,130,0.3288587511145601,66,138,9,3.7849923994548655,73.58440329906557,9.791752369880664,950.0660533354494,4,3,0,949.5978510459313,🔴 Reorder Required
2022-04-15,1028,4,131,0.3277730732379418,364,156,7,1.330303980194202,40.35110466264392,15.263871093899237,524.5817534533335,4,4,0,514.3498473474597,🟡 High Cost Overstock
2022-04-16,1014,5,117,0.2641972458165367,485,133,14,2.059878624664488,80.1511833313582,20.017261330697306,1079.1923162936346,4,5,1,1074.049696468639,🟡 High Cost Overstock
2022-04-17,1044,4,112,0.1770119661752558,437,123,11,3.484762865860182,32.249082472458674,13.944814164570182,1555.0904548533583,4,6,1,1551.1231892644057,🟡 High Cost Overstock
2022-04-18,1064,4,120,0.3980530993993599,126,95,6,2.66940205036016,51.660048422879015,17.677827797848046,388.0047067682592,4,0,0,402.42194428314986,🟢 Healthy
2022-04-19,1088,3,118,0.1508225061430697,436,85,1,3.823569673857022,72.48064867767343,14.050494484454376,1739.557026479335,4,1,0,1755.4397541693265,🟡 High Cost Overstock
2022-04-20,1070,5,115,0.1415495161115242,420,93,2,4.825435555502868,86.26952057841581,17.207743609739374,2112.9524538896203,4,2,0,2116.129271548749,🟡 High Cost Overstock
2022-04-21,1008,1,110,0.3840580150386014,214,194,12,1.0244600947183886,83.32248569320441,21.44524605227422,302.5569459629396,4,3,0,297.440407292135,🟢 Healthy
2022-04-22,1087,2,110,0.1835348081807935,146,191,6,3.693054723791274,77.73484794461582,8.609533921818466,616.9208376181418,4,4,0,556.6477549342861,🔴 Reorder Required
2022-04-23,1000,4,138,0.2227091005411329,154,137,11,1.5365487003445153,48.72771068291129,18.907570680119683,285.3562105359666,4,5,1,283.8102870863236,🟢 Healthy
2022-04-24,1007,2,128,0.2900909868006961,73,110,1,2.3651452733340617,29.784345303497908,20.748514786763664,1343.608263528886,4,6,1,1348.510451584,🔴 Reorder Required
2022-04-25,1087,1,105,0.2797405266918185,249,179,11,0.6478822660781292,37.34673741543925,13.94222814963565,198.6694216688934,4,0,0,206.36916858873204,🟢 Healthy
2022-04-26,1062,2,118,0.3834316500259996,84,180,5,1.1115832203171452,89.1867051661188,11.464671541357085,572.3585280788999,4,1,0,580.6097477156742,🔴 Reorder Required
2022-04-27,1010,1,120,0.3493727173773444,51,120,1,1.9389978007200488,88.58650961061275,5.270886478488041,551.1665644630101,4,2,0,608.5705700017089,🔴 Reorder Required
2022-04-28,1080,3,116,0.3577584649127463,338,199,13,2.0389361237959323,96.12486820312128,20.94210044668187,785.2852780461465,4,3,0,771.0490023641138,🟡 High Cost Overstock
2022-04-29,1007,4,127,0.385621732262183,381,114,3,4.548133474079431,26.07909215164333,11.55877318071976,1758.9179457759064,4,4,0,1744.0398430379985,🟡 High Cost Overstock
2022-04-30,1034,1,111,0.2170450909693861,391,197,12,3.838158091699318,62.944726822196486,12.146189388161003,1563.66454067663,4,5,1,1584.335895822768,🟡 High Cost Overstock
2022-05-01,1034,2,109,0.2289333247201894,187,89,12,4.874823356841685,71.89464359233868,11.720123261976244,983.4866113217338,5,6,1,945.4787158799402,🟢 Healthy
2022-05-02,1032,4,116,0.2751990991582216,386,160,12,3.1958217965085822,76.85259016534853,14.974786616246762,1310.4398036176613,5,0,0,1304.4621959905544,🟡 High Cost Overstock
2022-05-03,1004,3,115,0.2229848692134104,111,194,7,1.587711794410931,71.50905880083442,19.04999146438154,323.94503383797394,5,1,0,350.69192174078904,🔴 Reorder Required
2022-05-04,1040,4,126,0.4939751475883454,348,185,5,1.974447634647393,81.60091119218256,20.437262620010216,768.7086880494753,5,2,0,764.7652207629336,🟡 High Cost Overstock
2022-05-05,1027,1,129,0.4256207705685718,246,109,12,1.939261654813852,48.75772610314733,12.851414408063167,525.8160931873549,5,3,0,519.1158175981184,🟢 Healthy
2022-05-06,1006,3,133,0.1658618753024118,426,123,10,1.969224474484632,34.35462177083857,18.26204070090338,873.2442479012918,5,4,0,884.9550968655561,🟡 High Cost Overstock
2022-05-07,1072,2,127,0.1022376623527478,108,134,1,3.5283387790031706,36.36666977203508,19.413685005426306,786.2872730074773,5,5,1,758.1891524728968,🔴 Reorder Required
2022-05-08,1071,3,111,0.1171133072989071,314,150,1,2.888635676406873,20.958295157613147,10.938346633547631,927.9898975493712,5,6,1,948.4927853755477,🟡 High Cost Overstock
2022-05-09,1011,3,115,0.1976253804171701,382,97,8,2.2344088013898995,48.02574976849779,6.9324293907418655,901.5699118994394,5,0,0,931.2712902974357,🟡 High Cost Overstock
2022-05-10,1033,5,111,0.1457165143347426,237,162,11,1.1709039592792247,27.339524070398184,22.89331441288925,304.84376241957443,5,1,0,308.3109197294791,🟢 Healthy
2022-05-11,1032,3,99,0.3133352459570289,112,158,14,0.5996262332396566,45.71909542321527,18.542319435631857,112.8772335460568,5,2,0,128.26096046768825,🔴 Reorder Required
2022-05-12,1047,3,122,0.4431980890909435,357,182,13,1.4847560491446168,70.25680617329982,17.96220817752583,600.314715717928,5,3,0,593.3338830150715,🟡 High Cost Overstock
2022-05-13,1022,4,117,0.394700088365291,328,187,9,0.9836213178590656,91.5582444469456,6.17805030423956,414.18603670471913,5,4,0,434.1037671547025,🟢 Healthy
2022-05-14,1061,2,120,0.1862436252328762,79,165,7,4.034502638835077,87.16843607924132,21.357461150078528,1281.550051700432,5,5,1,1297.7425009544404,🔴 Reorder Required
2022-05-15,1087,4,98,0.2597197024103144,220,118,13,1.0062408101624842,40.21393695660615,16.321083121721063,261.58691519235265,5,6,1,251.3027737481412,🟢 Healthy
2022-05-16,1036,4,113,0.303157683812511,70,121,3,3.759027067880763,30.72665137584376,21.95768834635132,1238.039145020604,5,0,0,1228.8938149186497,🔴 Reorder Required
2022-05-17,1098,1,108,0.4240823398013342,348,199,12,2.235464103992372,35.44578190373851,24.49122367473523,813.387290093084,5,1,0,803.9457257505798,🟡 High Cost Overstock
2022-05-18,1043,4,105,0.4356486412424659,250,133,6,0.8302027538469918,97.67893215228855,24.142006417604843,305.2296206140365,5,2,0,292.6197628013078,🟢 Healthy
2022-05-19,1085,5,105,0.4638873247631104,184,109,3,4.157285222442136,63.95795837483927,22.121786927804152,828.8984393041922,5,3,0,833.2810368614231,🟢 Healthy
2022-05-20,1090,5,138,0.30369810020115,321,99,10,3.10833756606476,34.60017784004599,5.218947476627378,1032.376536546834,5,4,0,1057.919446122406,🟡 High Cost Overstock
2022-05-21,1034,1,131,0.3777098985743452,72,175,4,1.5609268078860787,87.25969237494522,22.71454416473913,1539.8045282623516,5,5,1,1467.6998936500293,🔴 Reorder Required
2022-05-22,1064,2,111,0.1447201484935748,491,121,12,4.5260652844970055,51.61529954500439,6.50124627655291,2273.913354233034,5,6,1,2269.860862792641,🟡 High Cost Overstock
2022-05-23,1098,2,108,0.3261155839815928,136,168,4,0.7036624124174815,91.9377721579782,22.023879403535343,187.63586024675567,5,0,0,199.24937352556438,🔴 Reorder Required
2022-05-24,1046,4,138,0.199476723788454,80,166,3,1.408188236889933,40.85417014675892,10.603481372232473,768.5111486874371,5,1,0,764.8960975730719,🔴 Reorder Required
2022-05-25,1077,4,136,0.2726867540106444,170,84,10,3.8842111751263744,51.45774070433889,17.201366770667352,711.7736404758225,5,2,0,682.8575623648283,🟢 Healthy
2022-05-26,1002,4,113,0.3536202033226877,118,129,6,3.692200686394501,60.39582102320677,5.761364622997593,496.0755020177579,5,3,0,489.2115311730912,🔴 Reorder Required
2022-05-27,1000,2,116,0.2027943751415124,183,120,5,1.8017226217601512,91.40922672712252,20.42363392236456,421.1244665092302,5,4,0,432.01864893288104,🟢 Healthy
2022-05-28,1004,3,121,0.1208740231187044,420,173,11,0.7791119390875241,89.50059452840446,7.23412244465943,416.72760894516455,5,5,1,423.7645680115871,🟢 Healthy
2022-05-29,1089,5,126,0.104093542563503,498,191,9,4.361351325012247,65.94840562431023,13.213763433515435,2237.9013654804094,5,6,1,2228.9594229676327,🟡 High Cost Overstock
2022-05-30,1013,3,114,0.1088638142178086,364,118,9,1.9116393713145616,37.74204078247125,21.348920046506027,733.5787719409717,5,0,0,714.5050841216398,🟡 High Cost Overstock
2022-05-31,1026,3,130,0.1033398950055078,461,136,3,1.3807103671771934,52.26855773903001,18.906979930166703,688.7760370077162,5,1,0,712.8405258848303,🟡 High Cost Overstock
2022-06-01,1008,2,125,0.1441420226231502,195,170,13,2.822278200624397,98.05064522924044,5.120853937161338,648.3948943509979,6,2,0,647.1825893978572,🟢 Healthy
2022-06-02,1078,3,121,0.1957954858280519,382,136,9,4.596022396771013,68.62185791019216,13.060646690850977,1824.302413476719,6,3,0,1803.6124563039996,🟡 High Cost Overstock
2022-06-03,1014,1,116,0.1884886056729197,443,185,13,0.6959596002951891,82.48782040993574,5.83855033929016,390.7979233407045,6,4,0,394.8248113717676,🟢 Healthy
2022-06-04,1089,4,92,0.4947186376719586,312,116,12,3.9461183961389943,55.98917562891358,18.469997216369386,1287.1781152242795,6,5,1,1283.5281642179232,🟡 High Cost Overstock
2022-06-05,1041,1,115,0.2224024420835773,342,86,3,3.0761295257241903,62.56058203734451,24.378969835066428,1114.5968798350175,6,6,1,1114.8459284049052,🟡 High Cost Overstock
2022-06-06,1076,5,108,0.1509683133437596,478,84,4,2.414521024483176,54.31632897860353,18.105225246015184,1208.4573786815615,6,0,0,1216.636697343329,🟡 High Cost Overstock
2022-06-07,1050,4,144,0.3182250176671032,135,158,1,3.84836199847277,76.23367984495744,9.487448622351115,681.1495872399414,6,1,0,694.680120488217,🔴 Reorder Required
2022-06-08,1062,3,129,0.4431829821590033,65,130,5,4.846209909987345,88.11768111095019,12.104660641330804,1177.819606305299,6,2,0,1164.2968830998216,🔴 Reorder Required
